CODE;MATSTA;STAGE;ENGBLK;ENGREL;MRPCTRL;SMAD;SMADPER;PMAD;PMADPER;CUSTCLASS;LAG;FWSHIP;VS;COALESCE(D.YOURREF,'')
1079557/19000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/20000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/21000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/22000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-09-29;;2027-09-29;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/23000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-13;;2027-10-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/24000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-13;;2027-10-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/25000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-13;;2027-10-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/26000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-13;;2027-10-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/27000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-13;;2027-10-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/28000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/29000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/30000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/31000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/32000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/33000;P1P1P1;Purchase Ordered;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/34000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/35000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/36000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2027-09-22;;2027-09-22;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/37000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-09-22;;2027-09-22;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/38000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-09-22;;2027-09-22;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/39000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/40000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-09-22;;2027-09-22;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/41000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/42000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/43000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/44000;P1P1P1;Purchase Ordered;;2025-09-23;C10. Jacquelin, Estelle;2027-12-15;;2027-12-15;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/45000;P1P1P1;Purchase Ordered;;2025-09-23;C10. Jacquelin, Estelle;2027-12-15;;2027-12-15;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/46000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-17;;2027-11-17;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/47000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/48000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079557/49000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/1000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/2000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/3000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/4000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/5000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-15;;2027-12-15;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/6000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-15;;2027-12-15;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/7000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/8000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/9000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/10000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-11-24;;2027-11-24;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/11000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/12000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/13000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/14000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/15000;P1P1P1;Customer Stock;;2025-09-23;C10. Jacquelin, Estelle;2025-10-30;;2025-12-30;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/16000;P1P1P1;Customer Stock;;2025-09-23;C10. Jacquelin, Estelle;2025-10-30;;2025-12-30;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/17000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-22;;2026-07-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/18000;P1P1P1;Production Released;;2025-09-23;C10. Jacquelin, Estelle;2026-06-19;;2026-07-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/19000;P1P1P1;Production Ordered;;2025-09-23;C10. Jacquelin, Estelle;2026-06-22;;2026-07-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/20000;P1P1P1;Production Ordered;;2025-09-23;C10. Jacquelin, Estelle;2026-06-22;;2026-07-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/21010;P1P1P1;Production Planned;;2024-08-30;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/22010;P1P1P1;Production Planned;;2024-08-30;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/23000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/24000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/25000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-27;;2027-10-27;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/26000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-22;;2027-12-22;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/27000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-22;;2027-12-22;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/28000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-22;;2027-12-22;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/29000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/30000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/31000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/32000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/33000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/34000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/35000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-01;;2027-12-01;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/36010;P1P1P1;Production Planned;;2024-08-30;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/37010;P1P1P1;Production Planned;;2024-08-30;C10. Jacquelin, Estelle;2027-10-20;;2027-10-20;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/38000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-27;;2027-10-27;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/39000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-27;;2027-10-27;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/40000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-10-27;;2027-10-27;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/41000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/42000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/43000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/44000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/45000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/46000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/47000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/48000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/49000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/50000;P1P1P1;Production Planned;;2025-09-23;C10. Jacquelin, Estelle;2027-12-08;;2027-12-08;;Public;6;OUT Q3 2026;Nuclear;NUCE18-12926
1079567/51000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/52000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079567/53000;P1P1P1;Engineering;EOUT;;C10. Jacquelin, Estelle;2027-12-29;;2027-12-29;;Public;6;ENG;Nuclear;NUCE18-12926
1079578/2000;P1P1P1;Customer Stock;;2023-08-24;C10. Jacquelin, Estelle;2025-03-28;;2025-03-28;;Public;4;Certif;Nuclear;NUCE18-12926
1079578/3000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;4;CHARGES;Nuclear;NUCE18-12926
1081612/1000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;2022-12-16;;2022-12-23;;Public;4;ENG;Nuclear;PDRN
1081612/2000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;4;ENG;Nuclear;PDRN
1125958/2020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/2050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/3020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/3050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/5020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/5050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/6020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/6050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/7000;P1P1P1;Customer Stock;;2021-12-02;C11. Hubert, Jean-Charles;2027-01-12;;2027-12-13;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/7010;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/7020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/7030;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/7040;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/7050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/9020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/9050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/10020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/10050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/11000;P1P1P1;;;2024-07-18;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/11020;P1P1ZZ;Charges;;;C06. TBD;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1125958/11050;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Assoco;4;CERTIF;;CERTIFCHINE
1169665/24000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;13;CHARGES;Commercial;
1169665/26000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1169665/27000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1169665/28000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1169665/29000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1178185/31000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;13;CHARGES;Commercial;
1182793/1000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/2000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/3000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/4000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/5000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/6000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/7000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/8000;P1P1P1;Customer Stock;;2020-06-02;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1182793/9000;P1P1P1;Engineering;;2022-04-28;C35. Daligault, Gildas;2026-07-31;;2026-07-31;;Public;6;ENG;Nuclear;PDRN
1182793/10000;P1P1P1;Purchase Ordered;;;C08. Machining;2026-07-31;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;PDRN
1196269/15000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1196269/16000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1196269/17000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1196269/18000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1196324/40000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;13;CHARGES;Commercial;
1199404/4000;P1P1P1;Purchase Ordered;;2021-08-03;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1199404/8000;P1P1P1;Engineering Issue;;2021-11-18;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1199404/14010;P1P1P1;Available in Stock;;;C35. Daligault, Gildas;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1199404/14020;P1P1P1;Available in Stock;;;C35. Daligault, Gildas;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1199404/15000;P1P1P1;Purchase Ordered;;2021-08-03;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;> Q3 2026;Nuclear;NUC
1199404/17000;P1P1P1;Production Released;;2021-08-03;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1199404/45000;P1P1P1;Purchase Confirmed;;2024-12-20;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;> Q3 2026;Nuclear;NUC
1199404/46000;P1P1P1;Purchase Confirmed;;2024-12-20;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;> Q3 2026;Nuclear;NUC
1199404/47000;P1P1P1;Purchase Confirmed;;2024-12-20;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1199404/48000;P1P1P1;Purchase Confirmed;;2024-12-20;C11. Hubert, Jean-Charles;2026-07-27;;2026-10-27;;Public;4;OUT Q3 2026;Nuclear;NUC
1204160/1000;P1P1ZZ;Booking;;;C35. Daligault, Gildas;;;;;Public;13;ENG;Commercial;PDR
1204299/12000;P1P1P1;Booking;;2020-02-13;C26. Bazin, Sandrine;2026-12-31;;2026-12-31;;Public;25;> Q3 2026;Commercial;20-23032M
1204299/13000;P1P1P1;Booking;;2020-02-13;C26. Bazin, Sandrine;2026-12-31;;2026-12-31;;Public;25;> Q3 2026;Commercial;20-23032M
1204299/14000;P1P1P1;Customer Stock;;2020-02-13;C26. Bazin, Sandrine;2026-12-31;;2026-12-31;;Public;25;> Q3 2026;Commercial;20-23032M
1204299/18000;P1P1P1;Customer Stock;;2020-02-13;C26. Bazin, Sandrine;2026-12-31;;2026-12-31;;Public;25;> Q3 2026;Commercial;20-23032M
1206785/10000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;13;CHARGES;Commercial;
1212222/17000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1212222/18000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1212222/19000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-30;;2026-06-30;;Public;13;3Q OPPS;Commercial;
1227051/7000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;13;CHARGES;Commercial;
1227051/9000;P1P1P1;Shipping;;;C35. Daligault, Gildas;2026-06-26;;2026-06-26;;Public;13;3Q OPPS;Commercial;
1232443/1000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;4;ENG;Nuclear;PDRN
1232443/2000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;4;ENG;Nuclear;PDRN
1237496/5000;P1P1P1;Purchase Confirmed;;2021-04-19;C11. Hubert, Jean-Charles;2026-12-02;;2027-02-02;;Public;4;OUT Q3 2026;Nuclear;NUC20-04506
1237496/6000;P1P1P1;Purchase Confirmed;;2021-04-19;C11. Hubert, Jean-Charles;2026-12-02;;2027-02-02;;Public;4;OUT Q3 2026;Nuclear;NUC20-04506
1237496/7000;P1P1P1;Purchase Confirmed;;2021-04-19;C11. Hubert, Jean-Charles;2026-12-02;;2027-02-02;;Public;4;OUT Q3 2026;Nuclear;NUC20-04506
1239339/1000;P1P1ZZ;Booking;;;C35. Daligault, Gildas;;;;;Public;13;ENG;Commercial;PDR20-25017M
1249199/1000;P1P1P1;Production Released;;2024-06-27;C10. Jacquelin, Estelle;2026-06-22;;2026-07-20;;Public;4;OUT Q3 2026;Nuclear;
1249199/2000;P1P1P1;Customer Stock;;2024-06-27;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;4;OUT Q3 2026;Nuclear;
1249201/1000;P1P1P1;Production Released;;2024-06-27;C10. Jacquelin, Estelle;2026-06-11;;2026-07-13;;Public;4;OUT Q3 2026;Nuclear;
1257459/1000;P1P1P1;Purchase Requisition;;2025-04-23;C11. Hubert, Jean-Charles;2026-12-11;;2027-02-11;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/1100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-12-11;;2027-02-11;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/1500;P1P1P1;Purchase Ordered;;2026-03-24;C08. Machining;2026-06-19;;2026-07-31;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/2000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-22;;2026-11-23;;Public;6;ENG;Nuclear;NUC
1257459/2100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-10-26;;2026-12-28;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/3000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-11-26;;2027-01-26;;Public;6;ENG;Nuclear;NUC
1257459/3100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-11-26;;2027-01-26;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/4000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-11-26;;2027-01-26;;Public;6;ENG;Nuclear;NUC
1257459/4100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-11-26;;2027-01-26;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/5000;P1P1SP;Purchase Confirmed;;2026-04-09;C11. Hubert, Jean-Charles;2026-11-26;;2027-01-26;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/5100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-11-16;;2027-01-18;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/6000;P1P1P1;Purchase Confirmed;;2026-04-09;C11. Hubert, Jean-Charles;2026-07-24;;2026-09-24;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/6100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-07-24;;2026-09-24;;Public;6;OUT Q3 2026;Nuclear;NUC
1257459/7000;P1P1P1;Purchase Confirmed;;2026-04-09;C11. Hubert, Jean-Charles;2026-07-31;;2026-09-30;;Public;6;OUT Q3 2026;Nuclear;NUC
